@relation leaf
@attribute species                  numeric
@attribute specimen_number          numeric
@attribute eccentricity             numeric
@attribute aspect_radio             numeric
@attribute elogation                numeric
@attribute solidity                 numeric
@attribute stochatis_convexity      numeric
@attribute isoperimetic_factor      numeric
@attribute maximal_identation_de    numeric
@attribute lobedness                 numeric
@attribute average_intensity        numeric
@attribute average_contrast         numeric
@attribute smoothenss                  numeric
@attribute uniformity               numeric
@attribute third_moment         0.00027477 {0.00010051,0.00010143,0.00010258,0.00010284,0.00010402,0.00010441,0.00010648,0.00010673,0.00010798,0.00010856,0.00010983,0.00011284,0.00011748,0.00012091,0.00012121,0.00012137,0.00012196,0.00012452,0.00012469,0.00012558,0.0001265,0.00012751,0.00012813,0.00013103,0.00013111,0.00013116,0.00013143,0.00013299,0.00013606,0.00013855,0.00014425,0.00014676,0.0001478,0.0001485,0.00014852,0.00014929,0.00015231,0.00015394,0.00015454,0.00015488,0.00015525,0.00015762,0.00016093,0.00016113,0.00016133,0.00016162,0.00016174,0.00016275,0.00016304,0.00016376,0.00016513,0.00016583,0.00016644,0.00016657,0.00017007,0.00017021,0.00017096,0.00017545,0.0001769,0.00017873,0.00017937,0.00018341,0.00018533,0.00018734,0.00018923,0.00019037,0.00019057,0.0001939,0.00019465,0.00019854,0.00020084,0.00020166,0.00020215,0.00020354,0.00020409,0.00020433,0.00021043,0.00021044,0.00021407,0.00021426,0.00022058,0.00022206,0.00022842,0.00022964,0.00023404,0.00023865,0.00023873,0.00023883,0.00024345,0.00024357,0.00024528,0.00024731,0.00024816,0.0002503,0.00025039,0.00025558,0.00025614,0.00025642,0.00025724,0.00025802,0.00026309,0.00026357,0.00026442,0.00026454,0.00026812,0.00026934,0.00027091,0.00027502,0.00027608,0.00027729,0.00028371,0.00028398,0.00029366,0.00029619,0.00029878,0.0003005,0.00030237,0.00030246,0.0003061,0.00031192,0.0003128,0.00031351,0.00031405,0.00031494,0.00031804,0.00031921,0.00032134,0.00032166,0.00032291,0.00032702,0.00032855,0.00033322,0.00034348,0.0003469,0.00034846,0.0003532,0.00035728,0.00036093,0.00036142,0.00036426,0.00037204,0.00037216,0.00038216,0.00039644,0.00039957,0.0004049,0.00040634,0.00041076,0.00042099,0.00042353,0.00042441,0.00042459,0.0004265,0.00043085,0.00043953,0.00044001,0.00044188,0.00044425,0.00045288,0.00045928,0.00045984,0.00046097,0.00047378,0.00048306,0.00048437,0.00048839,0.00049125,0.00050106,0.00050824,0.00051238,0.00052757,0.00052855,0.00053019,0.000564,0.00056945,0.00057194,0.00057453,0.00058101,0.00059383,0.00059701,0.0006066,0.00061195,0.00061603,0.00062391,0.00062422,0.00063907,0.00064002,0.00064766,0.00065287,0.00065523,0.00066766,0.00066857,0.00067629,0.00067747,0.00067871,0.00068131,0.00069878,0.0007191,0.00072251,0.00072984,0.00073522,0.00074063,0.00074416,0.00074607,0.00074739,0.00077178,0.00078336,0.00078875,0.00080697,0.00080703,0.00082033,0.00084138,0.000843,0.00084487,0.00084762,0.00085264,0.00086835,0.00087888,0.00090962,0.00090977,0.0009264,0.00095661,0.00096593,0.00096699,0.0010116,0.0010143,0.001043,0.0010933,0.0010974,0.0011793,0.0011976,0.0012335,0.0012358,0.0012496,0.0012501,0.0012638,0.0012682,0.0013297,0.0013911,0.0014091,0.0014149,0.0014211,0.0014315,0.0014697,0.0015026,0.0015154,0.0015424,0.0015453,0.0016787,0.0018094,0.0018137,0.001837,0.0020084,0.0023476,0.0029358,1.1238e-05,1.2841e-05,1.2922e-05,1.3273e-05,1.4404e-05,1.5362e-05,1.5463e-05,1.6802e-05,1.7724e-05,1.8914e-05,2.2232e-05,2.3504e-05,2.4448e-05,2.4798e-05,2.5646e-05,2.6189e-05,2.8251e-05,2.9147e-05,2.9179e-05,2.9215e-05,2.9454e-05,2.9594e-05,3.1292e-05,3.1839e-05,3.1877e-05,3.2863e-05,3.4802e-05,3.6128e-05,3.6303e-05,3.6857e-05,3.7442e-05,3.7886e-05,3.792e-05,3.9298e-05,4.0071e-05,4.1495e-05,4.3787e-05,4.4371e-05,4.441e-05,4.4517e-05,4.4538e-05,4.4661e-05,4.5324e-05,4.6307e-05,4.6487e-05,4.8527e-05,4.9071e-05,5.0098e-05,5.0484e-05,5.1566e-05,5.2046e-05,5.216e-05,5.245e-05,5.5348e-05,5.6309e-05,6.4365e-05,6.468e-05,6.5828e-05,6.6272e-05,6.7833e-05,6.8766e-05,6.9241e-06,6.9318e-05,6.9367e-05,6.947e-05,7.0661e-05,7.1264e-05,7.1555e-05,7.2478e-05,7.3919e-05,7.4846e-05,7.6339e-05,8.3271e-05,8.4502e-05,8.6352e-05,8.7642e-06,8.791e-05,9.1642e-05,9.1646e-05,9.5565e-05,9.7882e-05,9.7883e-05,9.7934e-05}
@attribute 1.1756 numeric
@data
1,2,0.7,1.5,0.4,1,1,0.8,0,0,0,0.1,0,0,7.4846e-05,0.7
1,3,0.8,1.6,0.4,1,1,0.8,0,0,0,0.1,0,0,3.7886e-05,0.4
1,4,0.7,1.5,0.4,1,1,0.8,0,0,0,0.1,0,0,6.6272e-05,0.6
1,5,0.8,1.8,0.4,1,1,0.8,0,0,0,0,0,0,2.3504e-05,0.3
1,6,0.7,1.5,0.3,1,1,0.8,0,0,0,0.1,0,0,2.4798e-05,0.3
1,7,0.8,1.8,0.4,1,1,0.8,0,0,0,0.1,0,0,4.1495e-05,0.5
1,8,0.8,1.6,0.4,1,1,0.8,0,0,0,0.1,0,0,0.00014676,0.7
1,9,0.8,1.8,0.5,1,1,0.8,0,0,0,0,0,0,3.2863e-05,0.3
1,10,0.9,2.4,0.6,1,1,0.7,0,0,0,0,0,0,2.8251e-05,0.3
1,11,0.7,1.5,0.3,1,1,0.8,0,0,0,0,0,0,3.1839e-05,0.3
1,12,0.8,1.7,0.4,1,1,0.8,0,0,0,0.1,0,0,0.00013855,0.5
2,1,0.9,2.8,0.6,1,1,0.6,0,0,0,0.1,0,0,0.00023883,0.9
2,2,0.9,2.5,0.6,1,1,0.6,0,0,0,0.1,0,0,8.3271e-05,0.7
2,3,0.9,2.3,0.6,1,1,0.7,0,0,0,0.1,0,0,0.00020166,0.9
2,4,0.9,2,0.5,1,1,0.7,0,0,0,0.1,0,0,0.00019854,0.9
2,5,0.9,2.5,0.6,1,1,0.6,0,0,0,0.1,0,0,0.00012452,0.7
2,6,0.9,2.2,0.6,1,1,0.6,0,0,0,0.1,0,0,0.00027729,1
2,7,0.9,2,0.5,1,1,0.7,0,0,0,0.1,0,0,0.00014929,0.7
2,8,0.9,2.3,0.6,1,1,0.6,0,0,0,0.1,0,0,0.00024345,0.9
2,9,0.9,2.9,0.7,1,1,0.6,0,0,0,0.1,0,0,0.00025558,0.9
2,10,0.8,1.9,0.5,1,1,0.8,0,0,0.1,0.1,0,0,0.00065523,1.7
3,1,0.7,1.2,0.4,0.9,1,0.6,0,0.1,0.1,0.2,0,0,0.0004049,1.5
3,2,0.7,1.2,0.3,0.9,1,0.8,0,0,0,0.1,0,0,3.6303e-05,0.5
3,3,0.6,1.1,0.3,0.9,1,0.6,0,0.1,0.1,0.2,0,0,0.00012121,1.1
3,4,0.7,1.3,0.4,0.9,1,0.7,0,0.1,0,0.1,0,0,8.6352e-05,0.7
3,5,0.7,1.1,0.4,0.9,1,0.6,0,0.1,0.1,0.2,0,0,0.00018533,1.1
3,6,0.5,1,0.3,0.9,1,0.6,0,0.1,0.1,0.2,0,0,0.00016162,1.1
3,7,0.6,1.1,0.3,0.9,1,0.7,0,0.2,0.1,0.2,0,0,0.00022964,1.2
3,8,0.6,1,0.4,0.9,1,0.6,0,0.2,0,0.1,0,0,5.2046e-05,0.6
3,9,0.7,1.2,0.4,0.9,1,0.6,0,0.2,0.1,0.2,0,0,0.00015525,1.1
3,10,0.6,1.1,0.3,0.9,1,0.7,0,0.1,0,0.1,0,0,6.468e-05,0.8
4,1,0.4,1.1,0.2,1,1,0.7,0,0,0.1,0.1,0,0,0.00090977,1.9
4,2,0.6,1.3,0.3,1,1,0.8,0,0,0,0.1,0,0,0.00044188,1.2
4,3,0.7,1.5,0.4,0.9,1,0.6,0,0,0,0.1,0,0,0.00047378,1.3
4,4,0.6,1.3,0.3,0.9,1,0.7,0,0.1,0,0.1,0,0,0.00029878,1.2
4,5,0.6,1.3,0.3,1,1,0.8,0,0,0,0.1,0,0,0.00020433,0.9
4,6,0.7,1.6,0.4,1,1,0.7,0,0,0,0.1,0,0,0.00026812,0.9
4,7,0.4,1.1,0.2,1,1,0.8,0,0,0,0.1,0,0,0.00015762,1
4,8,0.5,1.3,0.2,1,1,0.8,0,0,0,0.1,0,0,0.00048839,1.5
5,1,0.9,1.8,0.6,0.8,0.8,0.4,0,0.3,0,0.1,0,0,0.00022842,1.1
5,2,0.9,1.7,0.6,0.8,0.9,0.4,0,0.3,0,0.1,0,0,0.00025802,1.1
5,3,0.9,1.9,0.6,0.8,0.9,0.3,0,0.4,0,0.1,0,0,0.00020084,1
5,4,0.9,2.4,0.7,0.8,0.9,0.3,0.1,1.2,0,0.1,0,0,0.00037216,1.3
5,5,0.9,2.2,0.7,0.8,0.9,0.4,0,0.3,0.1,0.1,0,0,0.00028398,1.4
5,6,0.9,2.1,0.7,0.8,0.9,0.3,0,0.4,0,0.1,0,0,0.00029366,1.2
5,7,0.9,2,0.6,0.8,0.8,0.4,0,0.5,0,0.1,0,0,0.00017096,1.1
5,8,0.9,2.4,0.7,0.8,0.9,0.4,0,0.3,0,0.1,0,0,0.00042459,1.3
